Team,Year,GP,P,ROW,GF,Ave Salary,Salary Variation,Full Team Name,RawGini,Gini2,RosterSize,OrtegaGamma,Atkinson
OTT,2017,82,67,26,219,2937689.36,2046283.28,Ottawa Senators,0.3906,0.15256836,22,0.5083,0.1286
PHI,2017,82,98,40,249,2996932.68,2142220.7,Philadelphia Flyers,0.384,0.147456,25,0.5322,0.1225
PIT,2017,82,100,45,270,3231341.12,2699001.34,Pittsburgh Penguins,0.4535,0.20566225,24,0.728,0.1768
SJS,2017,82,100,40,247,3048666.68,2247305.08,San Jose Sharks,0.4072,0.16581184,25,0.566,0.1409
STL,2017,82,94,41,223,2732800,2237722.2,St. Louis Blues,0.4357,0.18983449,25,0.6984,0.1639
TBL,2017,82,113,48,290,2880555.56,2282405.67,Tampa Bay Lightning,0.4284,0.18352656,27,0.652,0.1538
TOR,2017,82,105,42,270,2917403.85,1894000.27,Toronto Maple Leafs,0.3651,0.13329801,26,0.4383,0.1186
VAN,2017,82,73,31,218,2661664.63,2051223.36,Vancouver Canucks,0.421,0.177241,27,0.6168,0.1477
VGK,2017,82,109,47,268,2170156.22,1746890.05,Vegas Golden Knights,0.4261,0.18156121,32,0.6689,0.1473
WPG,2017,82,114,48,273,2569055.53,2219589.99,Winnipeg Jets,0.4536,0.20575296,30,0.7722,0.1705
ANA,2016,82,105,43,220,2826916.82,2298835.9,Anaheim Ducks,0.4316,0.18627856,28,0.6858,0.1535
ARI,2016,82,70,24,191,2205835.54,1767147.94,Arizona Coyotes,0.4168,0.17372224,28,0.6656,0.1408
BOS,2016,82,95,42,232,2658482.14,2318697.79,Boston Bruins,0.4567,0.20857489,28,0.7889,0.172
BUF,2016,82,78,31,199,2758427.23,2057393.75,Buffalo Sabres,0.4089,0.16719921,26,0.5786,0.141
CGY,2016,82,94,41,222,3012433.4,2054334.93,Calgary Flames,0.384,0.147456,25,0.4844,0.1271
CAR,2016,82,87,33,212,2126856.05,1737246.69,Carolina Hurricanes,0.4279,0.18309841,22,0.699,0.1482
CHI,2016,82,109,46,240,2826158.77,2957448.16,Chicago Blackhawks,0.5165,0.26677225,26,1.1389,0.222
COL,2016,82,48,21,165,2554224.24,2154513.81,Colorado Avalanche,0.4479,0.20061441,25,0.7412,0.1711
CBJ,2016,82,108,48,247,2525504.9,2129864.15,Columbus Blue Jackets,0.4495,0.20205025,29,0.7366,0.1702
DAL,2016,82,79,33,222,2754639.83,2188562.34,Dallas Stars,0.4306,0.18541636,23,0.6599,0.1611
DET,2016,82,79,24,198,3016030.91,1976681.5,Detroit Red Wings,0.3672,0.13483584,23,0.4491,0.1316
EDM,2016,82,103,43,243,2396499.93,1838161.73,Edmonton Oilers,0.4073,0.16589329,28,0.6101,0.135
FLA,2016,82,81,30,205,2585347.21,1795994.95,Florida Panthers,0.3839,0.14737921,24,0.5036,0.1243
LAK,2016,82,86,37,199,3310915.61,2463434.29,Los Angeles Kings,0.4091,0.16736281,23,0.5787,0.1428
MIN,2016,82,106,46,263,2961010.28,2171273.41,Minnesota Wild,0.4053,0.16426809,25,0.5601,0.1364
MTL,2016,82,103,44,223,2919394.79,2252264.87,Montreal Canadiens,0.4199,0.17631601,24,0.6211,0.1478
NSH,2016,82,94,39,238,2364109.17,2265194.07,Nashville Predators,0.4886,0.23872996,29,0.9509,0.1981
NJD,2016,82,70,25,180,2818951.14,2018321.32,New Jersey Devils,0.3962,0.15697444,21,0.5383,0.1382
NYI,2016,82,94,39,239,2947103.25,1731080.82,New York Islanders,0.3361,0.11296321,24,0.36,0.0992
NYR,2016,82,102,45,253,2793518.52,2308564.9,New York Rangers,0.4399,0.19351201,27,0.7092,0.1553
OTT,2016,82,98,38,206,2608027.77,2100460.65,Ottawa Senators,0.4338,0.18818244,30,0.671,0.1535
PHI,2016,82,88,32,212,2877469.2,2214356.08,Philadelphia Flyers,0.412,0.169744,25,0.6169,0.141
PIT,2016,82,111,46,278,2787067.45,2583142.85,Pittsburgh Penguins,0.4839,0.23415921,29,0.8897,0.1926
SJS,2016,82,99,44,219,3328968.29,2042451.89,San Jose Sharks,0.3502,0.12264004,21,0.3953,0.1116
STL,2016,82,99,44,233,2980329.88,2220661.25,St. Louis Blues,0.408,0.166464,24,0.5793,0.1384
TBL,2016,82,94,38,230,2840708.3,2141608.14,Tampa Bay Lightning,0.4086,0.16695396,20,0.5983,0.1445
TOR,2016,82,95,39,250,2320505.96,1653653.66,Toronto Maple Leafs,0.3904,0.15241216,28,0.5266,0.1243
VAN,2016,82,69,26,178,2307284.48,2111921.29,Vancouver Canucks,0.4644,0.21566736,29,0.8677,0.1768
WPG,2016,82,87,37,246,2443075.31,2095336.75,Winnipeg Jets,0.4426,0.19589476,26,0.765,0.1597
ANA,2015,82,103,43,215,2401574.04,2159087.15,Anaheim Ducks,0.4427,0.19598329,27,0.8393,0.1564
ARI,2015,82,78,34,208,2264886.22,1731196.27,Arizona Coyotes,0.4086,0.16695396,27,0.6067,0.1386
BOS,2015,82,93,38,236,2852291.67,2286487.71,Boston Bruins,0.4358,0.18992164,24,0.6706,0.1628
BUF,2015,82,81,33,199,2306347.64,1765979.25,Buffalo Sabres,0.4092,0.16744464,25,0.6107,0.1363
CGY,2015,82,77,33,229,2710037.86,1628922.47,Calgary Flames,0.3381,0.11431161,22,0.3785,0.1013
CAR,2015,82,86,33,196,2068939.32,2024000.16,Carolina Hurricanes,0.4721,0.22287841,22,1.0026,0.1864
CHI,2015,82,103,46,234,2898790.08,2956177.55,Chicago Blackhawks,0.5111,0.26122321,24,1.0852,0.2142
COL,2015,82,82,35,212,2489176.73,1834235.53,Colorado Avalanche,0.4039,0.16313521,26,0.5647,0.1325
CBJ,2015,82,76,28,213,2814948.22,2129180.85,Columbus Blue Jackets,0.4144,0.17172736,23,0.5981,0.1441
DAL,2015,82,109,48,265,2590248.15,2049272.14,Dallas Stars,0.4251,0.18071001,27,0.65,0.1471
DET,2015,82,93,39,209,2791115.12,2033989.46,Detroit Red Wings,0.4043,0.16345849,25,0.5532,0.1361
EDM,2015,82,70,27,199,2314089.52,1819082.7,Edmonton Oilers,0.4155,0.17264025,27,0.6417,0.1364
FLA,2015,82,103,40,232,2665790.78,1799223.79,Florida Panthers,0.3716,0.13808656,27,0.4731,0.1213
LAK,2015,82,102,46,223,3055156.89,2069889.8,Los Angeles Kings,0.3845,0.14784025,28,0.476,0.1287
MIN,2015,82,87,35,213,2939778.08,2364541.23,Minnesota Wild,0.4412,0.19465744,24,0.6751,0.1668
MTL,2015,82,82,33,216,2489940.43,2240240.89,Montreal Canadiens,0.4669,0.21799561,28,0.8395,0.1795
NSH,2015,82,96,37,224,2503552.4,2091733.4,Nashville Predators,0.4454,0.19838116,25,0.7272,0.1685
NJD,2015,82,84,36,182,2483260.83,2071622.75,New Jersey Devils,0.4408,0.19430464,23,0.7276,0.1745
NYI,2015,82,100,40,227,2496474.37,1717495.34,New York Islanders,0.3847,0.14799409,27,0.4915,0.1217
NYR,2015,82,101,43,233,3533652.17,2628241.93,New York Rangers,0.4144,0.17172736,23,0.5783,0.1517
OTT,2015,82,85,32,230,2307943.54,1831446.91,Ottawa Senators,0.4165,0.17347225,26,0.6549,0.1361
PHI,2015,82,96,38,211,2603076.92,1973059.43,Philadelphia Flyers,0.409,0.167281,26,0.5975,0.1401
PIT,2015,82,104,44,241,2687959.69,2610148.35,Pittsburgh Penguins,0.4977,0.24770529,29,0.9766,0.2027
SJS,2015,82,98,42,237,2856099.96,2087433.94,San Jose Sharks,0.4081,0.16654561,25,0.5564,0.1425
STL,2015,82,107,44,219,2975989.58,2142451.59,St. Louis Blues,0.3991,0.15928081,24,0.5408,0.1325
TBL,2015,82,97,43,224,2784792.35,2073946.08,Tampa Bay Lightning,0.4131,0.17065161,26,0.5768,0.1466
TOR,2015,82,69,23,192,2744393.95,1607772.05,Toronto Maple Leafs,0.3314,0.10982596,22,0.3596,0.1041
VAN,2015,82,75,26,186,2825870.04,2026210.62,Vancouver Canucks,0.3943,0.15547249,25,0.5355,0.1274
WPG,2015,82,78,32,212,2042931.03,1784448.37,Winnipeg Jets,0.4387,0.19245769,29,0.7902,0.1584
