Team,Year,GP,P,ROW,Ave Salary,Salary Variation,Full Team Name,Gini,Gini2,RosterSize
COL,2022,82,109,45,3336153.85,2603170.87,Colorado Avalanche,0.4249,0.18054001,26
CBJ,2022,82,59,24,2636666.64,2792183.75,Columbus Blue Jackets,0.5023,0.25230529,25
DAL,2022,82,108,43,3447300,2860656.76,Dallas Stars,0.4458,0.19873764,25
DET,2022,82,80,32,2147307.69,1707885.52,Detroit Red Wings,0.4106,0.16859236,26
EDM,2022,82,109,50,3410166.64,3077210.58,Edmonton Oilers,0.4678,0.21883684,25
FLA,2022,82,92,40,3230000.04,3090266.97,Florida Panthers,0.4941,0.24413481,25
LAK,2022,82,104,41,2892230.32,2915584.16,Los Angeles Kings,0.5002,0.25020004,25
MIN,2022,82,103,39,2975956.78,2505185.17,Minnesota Wild,0.4477,0.20043529,27
MTL,2022,82,68,26,2992876.29,2481137.29,Montreal Canadiens,0.437,0.190969,31
NSH,2022,82,92,36,2661060.82,2751440.44,Nashville Predators,0.5018,0.25180324,28
NJD,2022,82,112,50,3276825.27,2419989.03,New Jersey Devils,0.4055,0.16443025,26
NYI,2022,82,93,41,3235576.92,2199234.14,New York Islanders,0.3813,0.14538969,26
NYR,2022,82,107,43,3864214.28,3504282.95,New York Rangers,0.4852,0.23541904,25
OTT,2022,82,86,37,2948928.6,2555723.09,Ottawa Senators,0.4563,0.20820969,25
PHI,2022,82,75,29,3421007.6,2480601.9,Philadelphia Flyers,0.4032,0.16257024,25
PIT,2022,82,91,39,3464590.62,2268627.45,Pittsburgh Penguins,0.3687,0.13593969,24
SJS,2022,82,60,21,2851153.85,2754191.67,San Jose Sharks,0.4679,0.21893041,26
SEA,2022,82,100,46,3070256.38,1888304.28,Seattle Kraken,0.3475,0.12075625,26
STL,2022,82,81,34,3160797.09,2266932.36,St. Louis Blues,0.3994,0.15952036,23
TBL,2022,82,98,43,3591354.17,3210427.02,Tampa Bay Lightning,0.4759,0.22648081,24
TOR,2022,82,111,49,3458807.34,3423472.54,Toronto Maple Leafs,0.5048,0.25482304,29
VAN,2022,82,83,32,3041681.03,2469161.14,Vancouver Canucks,0.4411,0.19456921,29
VGK,2022,82,111,46,3417528.14,2611455.69,Vegas Golden Knights,0.4042,0.16337764,29
WPG,2022,82,95,45,3203068.74,2498568.3,Winnipeg Jets,0.4258,0.18130564,27
ANA,2021,82,76,27,2005157.04,1860871.19,Anaheim Ducks,0.4389,0.19263321,26
ARI,2021,82,57,24,2605080.82,2267641.26,Arizona Coyotes,0.4549,0.20693401,33
BOS,2021,82,107,49,2823848.58,2039182.51,Boston Bruins,0.3992,0.15936064,31
BUF,2021,82,75,29,2273222.2,2105250.37,Buffalo Sabres,0.4532,0.20539024,30
CGY,2021,82,111,48,3190219.11,2210808.69,Calgary Flames,0.388,0.150544,27
CAR,2021,82,116,53,3572411.4,2294071.59,Carolina Hurricanes,0.3606,0.13003236,25
CHI,2021,82,68,22,3014062.5,2869146.43,Chicago Blackhawks,0.4774,0.22791076,24
COL,2021,82,119,52,3122172.61,2553172.55,Colorado Avalanche,0.4392,0.19289664,28
CBJ,2021,82,81,33,2357306.1,2087612.47,Columbus Blue Jackets,0.443,0.196249,29
DAL,2021,82,98,41,3178240.74,2806300.99,Dallas Stars,0.4623,0.21372129,27
DET,2021,82,74,29,2073247.14,1641273.03,Detroit Red Wings,0.411,0.168921,29
EDM,2021,82,104,44,3306466.32,2730371.69,Edmonton Oilers,0.4169,0.17380561,25
FLA,2021,82,122,55,2977347.2,2569213.76,Florida Panthers,0.453,0.205209,30
LAK,2021,82,99,40,2713556.93,2636183.68,Los Angeles Kings,0.4717,0.22250089,30
MIN,2021,82,113,48,3323888.83,2545755.2,Minnesota Wild,0.4211,0.17732521,24
MTL,2021,82,55,19,2750179.67,2559863.73,Montreal Canadiens,0.4737,0.22439169,30
NSH,2021,82,97,41,2552212.74,2521663.79,Nashville Predators,0.4865,0.23668225,27
NJD,2021,82,63,24,2324921.84,2281303.37,New Jersey Devils,0.4628,0.21418384,32
NYI,2021,82,84,35,3038233.36,2227222.05,New York Islanders,0.4042,0.16337764,25
NYR,2021,82,110,48,2759326.71,2583709.91,New York Rangers,0.4585,0.21022225,28
OTT,2021,82,73,30,2326772.47,2168234.86,Ottawa Senators,0.4546,0.20666116,30
PHI,2021,82,61,24,2760155.57,2345176.29,Philadelphia Flyers,0.45,0.2025,28
PIT,2021,82,103,43,3482493.84,2493221.7,Pittsburgh Penguins,0.3944,0.15555136,25
SJS,2021,82,77,29,2474973.1,2803823.69,San Jose Sharks,0.5167,0.26697889,31
SEA,2021,82,60,24,2844928.79,1832740.58,Seattle Kraken,0.3598,0.12945604,24
STL,2021,82,109,47,3417500,2471558.21,St. Louis Blues,0.4043,0.16345849,25
TBL,2021,82,110,49,4037500,3084369.96,Tampa Bay Lightning,0.4231,0.17901361,22
TOR,2021,82,115,51,3305856.15,3369157.67,Toronto Maple Leafs,0.5069,0.25694761,27
VAN,2021,82,92,37,2647118.06,2431713.57,Vancouver Canucks,0.4732,0.22391824,32
VGK,2021,82,94,39,3388179.04,2910077.7,Vegas Golden Knights,0.4599,0.21150801,27
WPG,2021,82,89,37,3370987.08,2513183.29,Winnipeg Jets,0.4124,0.17007376,24
ANA,2020,56,43,15,2994444.41,2384663.79,Anaheim Ducks,0.4304,0.18524416,27
ARI,2020,56,54,21,2828649.41,2370974.53,Arizona Coyotes,0.4472,0.19998784,29
BOS,2020,56,73,29,2675434.06,2336811.12,Boston Bruins,0.4573,0.20912329,34
BUF,2020,56,37,11,2424826.1,2448330.28,Buffalo Sabres,0.4806,0.23097636,29
CGY,2020,56,55,25,3019615.35,2453758.84,Calgary Flames,0.4396,0.19324816,26
CAR,2020,56,80,32,2907293.15,2170866.08,Carolina Hurricanes,0.4092,0.16744464,27
CHI,2020,56,55,22,2437030.49,2575023.21,Chicago Blackhawks,0.4833,0.23357889,37
COL,2020,56,82,39,2718920.54,2168572.81,Colorado Avalanche,0.4266,0.18198756,35
CBJ,2020,56,48,15,2395566.97,1983488.67,Columbus Blue Jackets,0.4357,0.18983449,31
DAL,2020,56,60,21,2752096.74,2525534.15,Dallas Stars,0.4638,0.21511044,31
DET,2020,56,48,17,2511694.86,1771719.62,Detroit Red Wings,0.3841,0.14753281,28
EDM,2020,56,72,35,2512652.31,2589557.83,Edmonton Oilers,0.4789,0.22934521,35
FLA,2020,56,79,36,2296559.49,2305280.35,Florida Panthers,0.4781,0.22857961,35
LAK,2020,56,49,20,2036927,2560310.22,Los Angeles Kings,0.5007,0.25070049,32
MIN,2020,56,75,34,3032777,2273909.1,Minnesota Wild,0.4131,0.17065161,28
MTL,2020,56,59,23,2892461.55,2357355.5,Montreal Canadiens,0.4254,0.18096516,31
NSH,2020,56,64,26,2561657.91,2383667.19,Nashville Predators,0.4683,0.21930489,34
NJD,2020,56,45,19,2221498.2,2132941.41,New Jersey Devils,0.4578,0.20958084,25
NYI,2020,56,71,28,3304416.67,2169675.6,New York Islanders,0.3692,0.13630864,30
NYR,2020,56,60,26,1958988.05,2346759.46,New York Rangers,0.4719,0.22268961,40
OTT,2020,56,51,21,2086360.24,2041169.08,Ottawa Senators,0.467,0.218089,34
PHI,2020,56,58,22,2877606.56,2550443.62,Philadelphia Flyers,0.4654,0.21659716,27
PIT,2020,56,77,34,2625134.35,2464671.52,Pittsburgh Penguins,0.4766,0.22714756,34
SJS,2020,56,49,16,2592426.44,2880427.44,San Jose Sharks,0.524,0.274576,34
STL,2020,56,63,25,2636306.27,2294313.28,St. Louis Blues,0.4575,0.20930625,37
TBL,2020,56,75,35,3350781.22,2869991.19,Tampa Bay Lightning,0.463,0.214369,32
